"Event Name";"Currency";"Date";"Actual";"Forecast";"Previous"
"Retail Sales (MoM)";"USD";"08:30";"2022-04-14";"1.1%";"1.0%";"0.6%"
"Initial Jobless Claims";"USD";"08:30";"2022-04-14";"185K";"171K";"167K"
"Retail Sales (MoM)";"USD";"08:30";"2022-04-14";"0.5%";"0.6%";"0.8%"
"Retail Sales (YoY)";"USD";"08:30";"2022-04-14";"6.88%";"";"18.18%"
"Existing Home Sales (MoM)";"USD";"10:00";"2022-04-20";"-2.7%";"";"-8.6%"
"Existing Home Sales";"USD";"10:00";"2022-04-20";"5.77M";"5.80M";"5.93M"
"Imports";"USD";"10:30";"2022-04-20";"-2.248M";"";"1.208M"
"Core CPI (YoY)";"EUR";"05:00";"2022-04-21";"2.9%";"3.0%";"2.7%"
"Core CPI (MoM)";"EUR";"05:00";"2022-04-21";"1.2%";"1.2%";"0.5%"
"CPI (MoM)";"EUR";"05:00";"2022-04-21";"2.4%";"2.5%";"0.9%"
"CPI (YoY)";"EUR";"05:00";"2022-04-21";"7.4%";"7.5%";"5.9%"
"Initial Jobless Claims";"USD";"08:30";"2022-04-21";"184K";"180K";"186K"
"Manufacturing PMI";"EUR";"04:00";"2022-04-22";"55.3";"54.7";"56.5"
"Manufacturing PMI";"EUR";"04:00";"2022-04-22";"57.7";"55.0";"55.6"
"Manufacturing PMI";"USD";"09:45";"2022-04-22";"59.7";"58.2";"58.8"
"Manufacturing PMI";"USD";"09:45";"2022-04-22";"54.7";"58.0";"58.0"
"Imports";"USD";"10:30";"2022-04-27";"0.646M";"";"-2.248M"
"Initial Jobless Claims";"USD";"08:30";"2022-04-28";"180K";"180K";"185K"
"Core CPI (YoY)";"EUR";"05:00";"2022-04-29";"3.5%";"3.2%";"2.9%"
"Core CPI (MoM)";"EUR";"05:00";"2022-04-29";"1.1%";"0.9%";"1.2%"
"CPI (YoY)";"EUR";"05:00";"2022-04-29";"7.5%";"7.5%";"7.4%"
"CPI (MoM)";"EUR";"05:00";"2022-04-29";"0.6%";"1.8%";"2.4%"
"Manufacturing PMI";"EUR";"04:00";"2022-05-02";"55.5";"55.3";"56.5"
"Manufacturing PMI";"USD";"09:45";"2022-05-02";"59.2";"";"59.7"
"Manufacturing PMI";"USD";"10:00";"2022-05-02";"55.4";"57.6";"57.1"
"PPI (YoY)";"EUR";"05:00";"2022-05-03";"36.8%";"36.3%";"31.5%"
"PPI (MoM)";"EUR";"05:00";"2022-05-03";"5.3%";"5.0%";"1.1%"
"Unemployment Rate";"EUR";"05:00";"2022-05-03";"6.8%";"6.7%";"6.9%"
"Manufacturing PMI";"EUR";"04:00";"2022-05-04";"57.7";"57.7";"55.6"
"Retail Sales (MoM)";"EUR";"05:00";"2022-05-04";"-0.4%";"-0.1%";"0.4%"
"Retail Sales (YoY)";"EUR";"05:00";"2022-05-04";"0.8%";"1.4%";"5.2%"
"Exports";"USD";"08:30";"2022-05-04";"241.70B";"";"228.80B"
"Imports";"USD";"08:30";"2022-05-04";"351.50B";"";"318.60B"
"Manufacturing PMI";"USD";"09:45";"2022-05-04";"55.6";"54.7";"58.0"
"Manufacturing PMI";"USD";"10:00";"2022-05-04";"57.1";"58.5";"58.3"
"Imports";"USD";"10:30";"2022-05-04";"0.545M";"";"0.646M"
"Initial Jobless Claims";"USD";"08:30";"2022-05-05";"200K";"182K";"181K"
"Unemployment Rate";"USD";"08:30";"2022-05-06";"3.6%";"3.5%";"3.6%"
"Core CPI (YoY)";"USD";"08:30";"2022-05-11";"6.2%";"6.0%";"6.5%"
"Core CPI (MoM)";"USD";"08:30";"2022-05-11";"0.6%";"0.4%";"0.3%"
"CPI (MoM)";"USD";"08:30";"2022-05-11";"0.3%";"0.2%";"1.2%"
"CPI (YoY)";"USD";"08:30";"2022-05-11";"8.3%";"8.1%";"8.5%"
"Imports";"USD";"10:30";"2022-05-11";"0.632M";"";"0.545M"
"CPI (MoM)";"USD";"11:00";"2022-05-11";"0.5%";"";"0.5%"
"Core PPI (YoY)";"USD";"08:30";"2022-05-12";"8.8%";"8.9%";"9.6%"
"Core PPI (MoM)";"USD";"08:30";"2022-05-12";"0.4%";"0.6%";"1.2%"
"Initial Jobless Claims";"USD";"08:30";"2022-05-12";"203K";"195K";"202K"
"PPI (MoM)";"USD";"08:30";"2022-05-12";"0.5%";"0.5%";"1.6%"
"PPI (YoY)";"USD";"08:30";"2022-05-12";"11.0%";"10.7%";"11.5%"
"Retail Sales (MoM)";"USD";"08:30";"2022-05-17";"0.6%";"0.4%";"2.1%"
"Retail Sales (YoY)";"USD";"08:30";"2022-05-17";"8.19%";"";"7.34%"
"Retail Sales (MoM)";"USD";"08:30";"2022-05-17";"0.9%";"0.9%";"1.4%"
"Core CPI (MoM)";"EUR";"05:00";"2022-05-18";"1.0%";"1.1%";"1.1%"
"Core CPI (YoY)";"EUR";"05:00";"2022-05-18";"3.5%";"3.5%";"3.0%"
"CPI (YoY)";"EUR";"05:00";"2022-05-18";"7.4%";"7.5%";"7.5%"
"CPI (MoM)";"EUR";"05:00";"2022-05-18";"0.6%";"0.6%";"2.4%"
"Imports";"USD";"10:30";"2022-05-18";"-0.342M";"";"0.632M"
"Initial Jobless Claims";"USD";"08:30";"2022-05-19";"218K";"200K";"197K"
"Existing Home Sales (MoM)";"USD";"10:00";"2022-05-19";"-2.4%";"";"-3.0%"
"Existing Home Sales";"USD";"10:00";"2022-05-19";"5.61M";"5.65M";"5.75M"
"Manufacturing PMI";"EUR";"04:00";"2022-05-24";"54.4";"54.9";"55.5"
"Manufacturing PMI";"EUR";"04:00";"2022-05-24";"56.3";"57.5";"57.7"
"Manufacturing PMI";"USD";"09:45";"2022-05-24";"57.5";"57.5";"59.2"
"Manufacturing PMI";"USD";"09:45";"2022-05-24";"53.5";"55.2";"55.6"
"Imports";"USD";"10:30";"2022-05-25";"-0.903M";"";"-0.342M"
"Initial Jobless Claims";"USD";"08:30";"2022-05-26";"210K";"215K";"218K"
"Core CPI (MoM)";"EUR";"05:00";"2022-05-31";"0.5%";"";"1.0%"
"Core CPI (YoY)";"EUR";"05:00";"2022-05-31";"3.8%";"";"3.5%"
"CPI (YoY)";"EUR";"05:00";"2022-05-31";"8.1%";"7.7%";"7.4%"
"CPI (MoM)";"EUR";"05:00";"2022-05-31";"0.8%";"0.6%";"0.6%"
"Manufacturing PMI";"EUR";"04:00";"2022-06-01";"54.6";"54.4";"55.5"
"Unemployment Rate";"EUR";"05:00";"2022-06-01";"6.8%";"6.8%";"6.8%"
"Manufacturing PMI";"USD";"09:45";"2022-06-01";"57.0";"57.5";"59.2"
"Manufacturing PMI";"USD";"10:00";"2022-06-01";"56.1";"54.5";"55.4"
"PPI (YoY)";"EUR";"05:00";"2022-06-02";"37.2%";"38.5%";"36.9%"
"PPI (MoM)";"EUR";"05:00";"2022-06-02";"1.2%";"2.3%";"5.3%"
